date,price
15/10/2025,1200.0
15/10/2025,1500.0
15/10/2025,2000.0
15/10/2025,3000.0
15/10/2025,2500.0
15/10/2025,1200.0
15/10/2025,800.0
15/10/2025,2250.0
15/10/2025,2000.0
15/10/2025,2250.0
15/10/2025,9000.0
15/10/2025,1600.0
15/10/2025,3005.0
15/10/2025,2600.0
15/10/2025,2900.0
15/10/2025,2100.0
15/10/2025,3000.0
15/10/2025,1200.0
15/10/2025,2500.0
15/10/2025,1600.0
15/10/2025,3000.0
15/10/2025,1300.0
15/10/2025,1450.0
15/10/2025,2500.0
15/10/2025,4343.0
15/10/2025,1350.0
15/10/2025,1350.0
15/10/2025,1400.0
15/10/2025,5800.0
15/10/2025,2000.0
15/10/2025,2200.0
15/10/2025,6500.0
15/10/2025,3200.0
15/10/2025,3901.0
15/10/2025,2500.0
15/10/2025,2780.0
15/10/2025,1800.0
15/10/2025,2800.0
15/10/2025,1900.0
15/10/2025,5000.0
15/10/2025,1020.0
15/10/2025,5250.0
15/10/2025,4000.0
15/10/2025,2000.0
15/10/2025,1300.0
15/10/2025,4000.0
15/10/2025,2000.0
15/10/2025,1500.0
15/10/2025,5000.0
15/10/2025,2000.0
15/10/2025,3250.0
15/10/2025,4250.0
15/10/2025,6000.0
15/10/2025,16500.0
15/10/2025,5000.0
15/10/2025,4200.0
15/10/2025,7500.0
15/10/2025,3700.0
15/10/2025,5000.0
15/10/2025,12000.0
15/10/2025,4700.0
15/10/2025,6000.0
15/10/2025,5750.0
15/10/2025,5000.0
15/10/2025,5500.0
15/10/2025,2200.0
15/10/2025,9500.0
15/10/2025,2200.0
15/10/2025,2300.0
15/10/2025,4600.0
15/10/2025,6000.0
15/10/2025,2600.0
15/10/2025,3800.0
15/10/2025,2800.0
15/10/2025,3200.0
15/10/2025,6200.0
15/10/2025,6200.0
15/10/2025,2100.0
15/10/2025,10000.0
15/10/2025,2000.0
15/10/2025,2300.0
15/10/2025,5000.0
15/10/2025,4500.0
15/10/2025,5200.0
15/10/2025,5200.0
15/10/2025,6000.0
15/10/2025,2200.0
15/10/2025,2700.0
15/10/2025,3000.0
15/10/2025,1800.0
15/10/2025,12500.0
15/10/2025,1500.0
15/10/2025,6500.0
15/10/2025,4300.0
15/10/2025,15000.0
15/10/2025,2300.0
15/10/2025,8000.0
15/10/2025,5500.0
15/10/2025,6000.0
15/10/2025,5500.0
15/10/2025,1900.0
15/10/2025,6000.0
15/10/2025,2000.0
15/10/2025,3000.0
15/10/2025,8000.0
15/10/2025,7500.0
15/10/2025,5500.0
15/10/2025,5000.0
15/10/2025,4500.0
15/10/2025,4100.0
15/10/2025,4200.0
15/10/2025,2500.0
15/10/2025,4500.0
15/10/2025,3000.0
15/10/2025,6000.0
15/10/2025,2500.0
15/10/2025,9000.0
15/10/2025,4500.0
15/10/2025,6500.0
15/10/2025,2500.0
15/10/2025,4200.0
15/10/2025,3000.0
15/10/2025,3500.0
15/10/2025,5500.0
15/10/2025,1800.0
15/10/2025,4000.0
15/10/2025,3500.0
15/10/2025,4000.0
15/10/2025,11500.0
15/10/2025,2500.0
15/10/2025,2600.0
15/10/2025,1200.0
15/10/2025,1500.0
15/10/2025,3500.0
15/10/2025,3500.0
15/10/2025,2650.0
15/10/2025,2100.0
15/10/2025,3000.0
15/10/2025,5000.0
15/10/2025,1200.0
15/10/2025,3550.0
15/10/2025,4300.0
15/10/2025,2400.0
15/10/2025,2200.0
15/10/2025,2350.0
15/10/2025,2500.0
15/10/2025,4750.0
15/10/2025,2450.0
15/10/2025,8250.0
15/10/2025,11000.0
15/10/2025,4250.0
15/10/2025,3750.0
15/10/2025,3250.0
15/10/2025,3100.0
15/10/2025,4600.0
15/10/2025,3900.0
15/10/2025,8100.0
15/10/2025,6100.0
15/10/2025,10500.0
15/10/2025,7000.0
15/10/2025,2250.0
15/10/2025,1250.0
15/10/2025,1000.0
15/10/2025,8000.0
15/10/2025,3000.0
15/10/2025,1400.0
15/10/2025,3600.0
15/10/2025,2800.0
15/10/2025,4000.0
15/10/2025,3200.0
15/10/2025,1100.0
15/10/2025,4000.0
15/10/2025,3200.0
15/10/2025,2800.0
15/10/2025,1700.0
15/10/2025,1600.0
15/10/2025,3900.0
15/10/2025,1400.0
15/10/2025,1000.0
15/10/2025,1200.0
15/10/2025,6500.0
15/10/2025,3500.0
15/10/2025,1300.0
15/10/2025,3283.0
15/10/2025,1976.0
15/10/2025,2400.0
15/10/2025,4223.0
15/10/2025,3500.0
15/10/2025,850.0
15/10/2025,4500.0
15/10/2025,24719.0
15/10/2025,57821.0
15/10/2025,7500.0
15/10/2025,5000.0
15/10/2025,2220.0
15/10/2025,29000.0
15/10/2025,26000.0
15/10/2025,2400.0
15/10/2025,2400.0
15/10/2025,1700.0
15/10/2025,6900.0
15/10/2025,3200.0
15/10/2025,1700.0
15/10/2025,1800.0
15/10/2025,4550.0
15/10/2025,4050.0
15/10/2025,2900.0
15/10/2025,2800.0
15/10/2025,13750.0
15/10/2025,4500.0
15/10/2025,2200.0
15/10/2025,61600.0
15/10/2025,7900.0
15/10/2025,3000.0
15/10/2025,5000.0
15/10/2025,4000.0
15/10/2025,8000.0
15/10/2025,10000.0
15/10/2025,2000.0
15/10/2025,3500.0
15/10/2025,4500.0
15/10/2025,4300.0
15/10/2025,5000.0
15/10/2025,3000.0
15/10/2025,4000.0
15/10/2025,1000.0
15/10/2025,4000.0
15/10/2025,3000.0
15/10/2025,5000.0
15/10/2025,3400.0
15/10/2025,2200.0
15/10/2025,3500.0
15/10/2025,6400.0
15/10/2025,4000.0
15/10/2025,2400.0
15/10/2025,4400.0
15/10/2025,5100.0
15/10/2025,3100.0
15/10/2025,6100.0
15/10/2025,6800.0
15/10/2025,3500.0
15/10/2025,900.0
15/10/2025,2300.0
15/10/2025,1600.0
15/10/2025,4000.0
15/10/2025,80000.0
15/10/2025,4000.0
15/10/2025,7500.0
15/10/2025,9500.0
15/10/2025,10000.0
15/10/2025,4800.0
15/10/2025,7500.0
15/10/2025,4000.0
15/10/2025,4500.0
15/10/2025,3700.0
15/10/2025,4000.0
15/10/2025,2700.0
15/10/2025,4500.0
15/10/2025,4000.0
15/10/2025,4500.0
15/10/2025,3000.0
15/10/2025,3500.0
15/10/2025,4000.0
15/10/2025,6500.0
15/10/2025,7000.0
15/10/2025,2000.0
15/10/2025,1500.0
15/10/2025,7000.0
15/10/2025,4000.0
15/10/2025,2300.0
15/10/2025,4700.0
15/10/2025,5200.0
15/10/2025,8000.0
15/10/2025,5500.0
15/10/2025,5200.0
15/10/2025,3800.0
15/10/2025,11500.0
15/10/2025,8200.0
15/10/2025,5000.0
15/10/2025,4500.0
15/10/2025,3800.0
15/10/2025,4800.0
15/10/2025,2400.0
15/10/2025,3200.0
15/10/2025,4400.0
15/10/2025,5000.0
15/10/2025,7000.0
15/10/2025,20000.0
